target_gene,culture_condition,secondary_factor,resource_type,matched_cases,observed_delta,null_mean,null_low,null_high,p_value,status,q_value,supported_enrichment
CEBPB,Rest,CREB1,motif,3,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Rest,CREB1,signed_curated,3,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Rest,EGR1,motif,3,-0.0666666666666666,-0.0014666666666666,-0.0666666666666666,0.3333333333333333,1.0,underpowered,1.0,False
CEBPB,Rest,EGR1,signed_curated,3,-0.0666666666666666,-0.0014666666666666,-0.0666666666666666,0.3333333333333333,1.0,underpowered,1.0,False
CEBPB,Rest,HIF1A,motif,3,-0.0666666666666666,0.0085333333333333,-0.0666666666666666,0.3333333333333333,1.0,underpowered,1.0,False
CEBPB,Rest,HIF1A,signed_curated,3,-0.0666666666666666,-0.0014666666666666,-0.0666666666666666,0.3333333333333333,1.0,underpowered,1.0,False
CEBPB,Rest,SP3,motif,3,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Rest,SP3,signed_curated,3,-0.0666666666666666,-0.0014666666666666,-0.0666666666666666,0.3333333333333333,1.0,underpowered,1.0,False
CEBPB,Rest,USF1,motif,3,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Rest,USF1,signed_curated,3,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Stim48hr,CREB1,motif,9,-0.0666666666666666,-0.0017333333333333,-0.0666666666666666,0.2,1.0,underpowered,1.0,False
CEBPB,Stim48hr,CREB1,signed_curated,9,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Stim48hr,EGR1,motif,9,0.2222222222222222,0.0007555555555555,-0.0444444444444444,0.2222222222222222,0.029970029970029972,underpowered,0.7535321821036106,False
CEBPB,Stim48hr,EGR1,signed_curated,9,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Stim48hr,HIF1A,motif,9,0.0666666666666666,0.0011999999999999,-0.0666666666666666,0.2,1.0,underpowered,1.0,False
CEBPB,Stim48hr,HIF1A,signed_curated,9,-0.0222222222222222,-0.0020888888888888,-0.0222222222222222,0.1111111111111111,1.0,underpowered,1.0,False
CEBPB,Stim48hr,SP3,motif,9,0.1333333333333333,-0.0013333333333333,-0.1333333333333333,0.2666666666666667,0.5974025974025974,underpowered,1.0,False
CEBPB,Stim48hr,SP3,signed_curated,9,0.0888888888888888,-0.0023111111111111,-0.0444444444444444,0.0888888888888888,0.2937062937062937,underpowered,1.0,False
CEBPB,Stim48hr,USF1,motif,9,0.1777777777777777,-0.0006222222222222,-0.0888888888888888,0.1777777777777777,0.1108891108891109,underpowered,1.0,False
CEBPB,Stim48hr,USF1,signed_curated,9,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Stim8hr,CREB1,motif,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Stim8hr,CREB1,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Stim8hr,EGR1,motif,2,-0.1,0.0014,-0.1,0.5,1.0,underpowered,1.0,False
CEBPB,Stim8hr,EGR1,signed_curated,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Stim8hr,HIF1A,motif,2,0.0,0.0,0.0,0.0,1.0,underpowered,1.0,False
CEBPB,Stim8hr,HIF1A,signed_curated,2,-0.1,0.002,-0.1,0.5,1.0,underpowered,1.0,False
CEBPB,Stim8hr,SP3,motif,2,-0.1,-0.0004,-0.1,0.5,1.0,underpowered,1.0,False
CEBPB,Stim8hr,SP3,signed_curated,2,-0.2,0.0046,-0.2,0.4,1.0,underpowered,1.0,False
